sample,w_Bi,w_In,w_Sn,x_Bi,x_In,x_Sn,T_m_excel,T_m_script
sample_1,4.2012,0.7701,0.0,0.749834953135924,0.25016504686407603,0.0,199.4,188.3
sample_2,3.217,1.766,0.0,0.500214819288944,0.4997851807110561,0.0,109.7,109.7
sample_3,1.8869,3.1215,0.0,0.24931831498923301,0.7506816850107669,0.0,80.0,78.9
sample_4,4.207,0.0,0.793,0.7508455249724,0.0,0.2491544750276001,148.2,203.9
sample_5,3.169,0.0,1.829,0.49602300931225896,0.0,0.503976990687741,146.5,135.0
sample_6,1.8588,0.0,3.1753,0.2495477008914926,0.0,0.7504522991085073,194.9,171.9
sample_7,0.0,3.7032,1.2965,0.0,0.7470323439998493,0.2529676560001507,144.1,131.3
sample_8,0.0,2.432,2.5464,0.0,0.49683784877068843,0.5031621512293115,121.6,119.0
sample_9,0.0,1.2094,3.809,0.0,0.24713997219301045,0.7528600278069895,208.3,184.0
sample_10,2.3729,1.2745,1.325,0.33777277671990585,0.3301963207966858,0.3320309024834084,98.7,98.0
